ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573862679343229056,15.962238,0.0005291650435939785,15.387274,0.002477334988270672,16.376041,0.0026610547617487825,0.674,1.4356111,0.25773454,1980.37859835296,155.6266539148703,01135929+8524224,14.179,0.073,18.497274728599997,85.40615524412,1.0,0.9887676,0.0036357119095351766,-2.5997734
573928370867618816,17.337706,0.0009555544588749119,16.668194,0.004942769034004433,17.873034,0.008267213707605997,,,,1722.56497202129,278.8258291274499,00491918+8458569,15.051,0.124,12.32992044049,84.98247636875999,1.0,1.2048397,0.009632122726104647,-3.1649704
573928375163700864,16.26235,0.0006200076758795822,15.69968,0.003765168759988429,16.67859,0.006230130807813496,0.2173,0.7383164,0.14044493,1652.21160896512,148.57538483945018,00494353+8458108,14.742,0.091,12.43144262901,84.96967637214,1.0,0.97891045,0.007279493503923171,-2.9368496
573928409523437696,16.148611,0.0006351376655791471,15.579457,0.0031224512504653425,16.568968,0.004504939558140957,0.537,1.0840528,0.21254444,1872.33931285333,168.03035410076996,00494511+8459138,14.449,0.076,12.43800906549,84.98719358167,1.0,0.98951054,0.005481257358858077,-2.7833595
573928856200037504,16.06416,0.0005854010944000567,15.512775,0.002936423520139739,16.465263,0.003559223206745369,0.4835,0.9910931,0.17931718,1745.05065191194,145.03317255456,00464167+8458067,14.399,0.08,11.67365953618,84.96856436298,1.0,0.95248795,0.004614179550588018,-2.8377428
573929405955846528,15.221726,0.00047703614456563894,14.707426,0.001879152270572249,15.5793705,0.0020812359883919775,0.9173,2.3779213,0.33658528,1863.1715654392,109.54828260148997,00470544+8500447,13.802,0.05,11.772834279460001,85.0124284799,1.0,0.8719444,0.0028040607153510017,-2.297348
573929646474007680,16.337317,0.0007895750764940327,15.762751,0.00338358568289843,16.742422,0.005020111588868895,0.1887,0.6563186,0.1333667,1612.32133166762,158.11581884986003,00464929+8503419,14.619,0.092,11.70556410368,85.06166446088,1.0,0.9796715,0.00605393858890318,-3.0089617
573929749553233664,15.150256,0.000470653644799965,14.602678,0.0017145494916130236,15.536178,0.0017560805733154293,,2.6932774,0.42105412,1879.91503396993,125.92593868647009,00512963+8459500,13.61,0.038,12.87347569421,84.99722487806,1.0,0.93349934,0.002454281756271338,-1.9950466
573929955711705088,15.780518,0.0005321660330532493,15.244431,0.0028767550070837975,16.155117,0.0029514003884880953,0.482,1.5870817,0.28688216,1931.07189743177,154.71161458669008,00504746+8500427,14.187,0.062,12.69766679237,85.01186383315,1.0,0.9106865,0.0041214661983266804,-2.7108564
573930642906420992,15.267575,0.00045037442374964596,14.732164,0.0017252901207071992,15.639217,0.002410505172635595,1.414,2.4979227,0.3529191,1916.95302818512,110.98402985606003,00512023+8504303,13.676,0.044,12.834371101010001,85.07510620915,1.0,0.907053,0.002964314623637785,-2.2115402
